Item,Price,
PCB,$5,JLCPCB
1N4007,$0.76,https://www.digikey.com/en/products/detail/diotec-semiconductor/1N4007/18833652
10K Pot,$3.56,https://www.digikey.com/en/products/detail/tt-electronics-bi/P120PK-Y25BR10K/5957454
Resistor Kit,$5,https://www.amazon.com/VIBICCK-600Pcs-Assortment-Electronic-30Values/dp/B0FRY2V145/
470uF 18V Cap 3,$1,https://www.digikey.com/en/products/detail/rubycon/16YXJ220MT16-3X11/3134826
1N4148,$0.40,https://www.digikey.com/en/products/detail/onsemi/1N4148/458603
Ceramic Kit,$7,https://www.amazon.com/Values-Ceramic-Capacitor-100nF-Multi-Layered/dp/B0DRBV31R9
Ferrite 77,$2,https://www.digikey.com/en/products/detail/fair-rite-products-corp/5977001401/8599655
1N5818,$1.50,https://www.digikey.com/en/products/detail/diotec-semiconductor/1N5818/22191341
FGA60N65,$15,https://www.digikey.com/en/products/detail/onsemi/FGA60N65SMD/3137189
Thermistor 30A/1ohm,$10,https://www.amazon.com/Ametherm-Thermistor-Inrush-Current-Limiter/dp/B071D326TB/
L7805,$6,https://www.amazon.com/Positive-Regulator-Three-Terminal-Regulated-Limiting/dp/B0C5M51R2Z/r
KBPF307G,$1,https://www.digikey.com/en/products/detail/taiwan-semiconductor-corporation/KBPF307G/18720489
0.82uF/600V Film Cap,$10,https://www.digikey.com/en/products/detail/kemet/R586R382050T0K/16903529
KBPC5010W,$4,https://www.digikey.com/en/products/detail/evvo/KBPC5010W/27691884
2 1000uF 250V,$15,https://www.digikey.com/en/products/detail/nichicon/LGW2E102MELB40/1966878
LM555xN,$1.50,https://www.digikey.com/en/products/detail/texas-instruments/SE555P/380221
LM7812_TO220,$1.80,https://www.digikey.com/en/products/detail/texas-instruments/LM7812CT-NOPB/3901975
Screw Terminals,$6,https://www.amazon.com/Screw-Terminal-Block-Circuit-Connectors/dp/B0FNQX9MMT/
30AWG,$22,https://www.amazon.com/Emtel-AWG-Electrical-Transformer-Insulated/dp/B0DFHC9MDD/
"4.5""x12"" PVC",$21,https://www.amazon.com/Inch-Schedule-40-PVC-Pipe/dp/B0GHPSJMCC
Topload,$20,https://www.ebay.com/itm/358309760608
Mains Cord,$6,https://www.amazon.com/Standard-Electronics-Computer-Printer-Monitor/dp/B09VRLJD7J
15mm M3 Standoffs,$8,https://www.amazon.com/Black-Nylon-Standoff-Spacers-Screws/dp/B0F297R23T/
Inlet,$9,https://www.amazon.com/FILSHU-Rocker-Switch-Socket-Module/dp/B09LGX9MQX/r
12VAC Transformer,$14,https://www.amazon.com/Transformer-Single-Phase-Applicable-Instrument-Lndustrial/dp/B0BPM4SD2P
Antenna,Owned,
EM Shielding Tape,$7,https://www.amazon.com/Aluminum-Ductwork-Temperature-Insulation-Adhesive/dp/B0B6NDFXPN/
Rubber Feet,Owned,
TO220 Heatsinks,$8,https://www.amazon.com/Easycargo-Aluminium-25x34x12mm-Regulator-25mmx34mmx12mm/dp/B07B62V4FP/
12AWG,$12,https://www.amazon.com/Voltage-Automotive-Primary-Security-Electrical/dp/B0D97CJYY7
IRFP460,$10,https://www.amazon.com/ALLECIN-IRFP460-Transistors-IRFP460NPBF-Transistor/dp/B0CBKHGVZX
,,
Digikey Total:,$80,
Amazon Total,$170,
Ebay Total:,$22,
,,
Total,$272,
